representative	member
A0A193H2L8	A0A193H2L8
A0A193H2L8	A0AB39AKQ4
A0A193H2L8	A0A7H0XCB4
A0A193H2L8	A0A7L7SRQ0
A0A193H2L8	A0A193H0X5
A0A193H2L8	A0A2Z5WKJ0
A0A193H2L8	A0A249XZX2
A0A193H2L8	A0A6G8QX70
A0A193H2L8	A0A514U5S8
A0A193H2L8	A0A2S1GQU6
A0A193H2L8	A0AAX4R6P7
A0A193H2L8	A0A384T9N7
A0A193H2L8	A0A8F3C7U5
A0A193H2L8	A0A6B9XBU0
A0A193H2L8	A0A0F6TJX5
A0A193H2L8	A0A4D6DXE6
A0A193H2L8	A0A0F6R5G5
A0A193H2L8	A0A0F6R6R5
A0A193H2L8	A0A218MAE0
A0A193H2L8	A0A067ZK08
A0A193H2L8	A0A3G2KCE4
A0A193H2L8	A0A482GBH3
A0A193H2L8	A0A6G6XHP2
A0A193H2L8	A0A482MXF7
A0A193H2L8	A0A0U2D9F6
A0A193H2L8	A0A482MYK5
A0A193H2L8	A0A5B9MXH1
A0A193H2L8	A0A5B9N010
A0A193H2L8	A0A5B9N2G0
A0A193H2L8	A0A1W6JU10
A0A193H2L8	A0A2Z4QC56
A0A193H2L8	A0A386K3U6
A0A193H2L8	A0A2U8QQE6
A0A193H2L8	Q7Y4V8
A0A193H2L8	A0A650FBF2
A0A193H2L8	A0A3G2KB96
A0A193H2L8	A0A193H2X3
A0A193H2L8	A0A3G3MC85
A0A193H2L8	A0A088FRC8
A0A193H2L8	A0A899IN16
A0A193H2L8	A0A0K1LKM2
A0A193H2L8	P32277
A0A193H2L8	A0A097J860
A0A193H2L8	A0A097J156
A0A193H2L8	A0A097J523
A0A193H2L8	D9IEL2
A0A193H2L8	A0A7S9XEW0
A0A193H2L8	A0A097J2T2
A0A193H2L8	A0A097J4D2
A0A193H2L8	A0A097J7B9
A0A193H2L8	A0A097J3D9
A0A193H2L8	A0A097J1W0
A0A193H2L8	A0A5B9MX09
A0A193H2L8	A0A4Y6ED85
A0A193H2L8	A0A023ZUF6
A0A193H2L8	A0A6B9WH84
A0A193H2L8	A0A7T7GUI3
A0A193H2L8	A0A482MYX5
A0A193H2L8	A0A1W5LJ72
A0A193H2L8	A0A7D5JDX1
A0A193H2L8	A0A193GZQ3
A0A193H2L8	A0A173GAB8
A0A193H2L8	A0A7S6HSK4
A0A193H2L8	A0A482N1J6
A0A193H2L8	A0A249XVT1
A0A193H2L8	A0A3S7GS75
A0A193H2L8	A0A346FJQ6
A0A193H2L8	A0A6G9LUB0
A0A193H2L8	A0A7T1Y0C2
